occupation,category,median_pay,num_jobs,outlook_pct,education,work_experience,training,description,url
Glossary,About,,,,,,,An official website of the United States governmentHere is how you know,https://www.bls.gov/ooh/about/glossary.htm
OOH FAQs,About,,,,,,,An official website of the United States governmentHere is how you know,https://www.bls.gov/ooh/about/ooh-faqs.htm
Teacher’s Guide,About,,,,,,,An official website of the United States governmentHere is how you know,https://www.bls.gov/ooh/about/teachers-guide.htm
Aerospace Engineering and Operations Technologists and Technicians,Architecture And Engineering,79830,9300,8,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm
Aerospace Engineers,Architecture And Engineering,134830,71600,6,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm
Agricultural Engineers,Architecture And Engineering,84630,1700,6,"$103,380",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm
Architects,Architecture And Engineering,96690,123600,4,"$113,030",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/architects.htm
Bioengineers and Biomedical Engineers,Architecture And Engineering,106950,22200,5,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm
Cartographers and Photogrammetrists,Architecture And Engineering,78380,13400,6,"74,090",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm
Chemical Engineers,Architecture And Engineering,121860,21600,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm
Civil Engineering Technologists and Technicians,Architecture And Engineering,64200,64900,2,"60,630",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm
Civil Engineers,Architecture And Engineering,99590,368900,5,"98,850",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm
Computer Hardware Engineers,Architecture And Engineering,155020,76800,7,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm
Drafters,Architecture And Engineering,65380,192100,0,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
Electrical and Electronic Engineering Technologists and Technicians,Architecture And Engineering,77180,93700,1,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
