occupation,category,median_pay,num_jobs,outlook_pct,education,work_experience,training,description,url,ai_score,ai_reasoning
Teacher’s Guide,About,,,,,,,An official website of the United States governmentHere is how you know,https://www.bls.gov/ooh/about/teachers-guide.htm,4,Mixed physical and digital task profile. AI can assist with some tasks but core duties have physical or interpersonal components. Category: About.
Aerospace Engineering and Operations Technologists and Technicians,Architecture And Engineering,79830,9300,8,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,5,Technical support with testing and analysis.
Aerospace Engineers,Architecture And Engineering,134830,71600,6,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,6,Design and simulation are digital. Physical testing and manufacturing oversight less automatable.
Agricultural Engineers,Architecture And Engineering,84630,1700,6,"$103,380",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,6,Significant digital work component with some physical/interpersonal elements that resist automation. Category: Architecture And Engineering.
Architects,Architecture And Engineering,96690,123600,4,"$113,030",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,7,"Design, planning, and documentation are heavily digital. AI can generate designs and documentation."
Bioengineers and Biomedical Engineers,Architecture And Engineering,106950,22200,5,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,6,Research and design with some physical lab/clinical components.
Cartographers and Photogrammetrists,Architecture And Engineering,78380,13400,6,"74,090",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,7,Map creation and spatial analysis — digital work AI can assist.
Chemical Engineers,Architecture And Engineering,121860,21600,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,6,Process design and optimization are AI-assistable. Lab work is physical.
Civil Engineering Technologists and Technicians,Architecture And Engineering,64200,64900,2,"60,630",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,5,Technical support with field and office work.
Civil Engineers,Architecture And Engineering,99590,368900,5,"98,850",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,6,"Engineering analysis and design are AI-assistable, but site work and inspections are physical."
